"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothNeg",1,20,0.1,92.46,18.43,7.25,1.44,80.07,1.31,0.23,6.52,1.2,92.17,18.55,79.64
"BothNeg",1,20,0.2,94.6,19.01,5.94,1.19,79.9,4.52,0.92,3.89,0.8,91.59,18.17,79.77
"BothNeg",1,20,0.3,94.44,18.75,4.71,0.94,80.14,8.96,1.78,8.58,1.66,82.46,16.2,80.12
"BothNeg",1,30,0,91.35,18.33,8.18,1.64,79.94,0,0,9.64,1.99,90.36,18.33,79.71
"BothNeg",1,30,0.1,90.65,18.32,9.4,1.9,79.79,1.74,0.38,11.63,2.46,86.64,17.14,79.99
"BothNeg",1,30,0.2,93.52,18.55,7.51,1.49,80.17,3.59,0.76,7.75,1.56,88.65,17.56,80.2
"BothNeg",1,30,0.3,91.85,18.4,8.3,1.66,79.97,8.85,1.62,8.43,1.54,82.71,16.7,80.05
"BothNeg",1,40,0,91.06,18.23,8.62,1.73,79.98,0,0,12.81,2.56,87.19,17.26,79.76
"BothNeg",1,40,0.1,91.25,18.2,8.7,1.73,80.05,1.68,0.33,10.61,1.99,87.71,17.59,80.13
"BothNeg",1,40,0.2,92.16,18.32,8.04,1.6,80.12,4.59,0.99,9.28,1.68,86.13,17.44,79.75
"BothNeg",1,40,0.3,87.38,17.64,12.98,2.62,79.81,9.68,2.07,8.16,1.66,82.16,16.6,79.85
"BothNeg",1,50,0,89.65,17.93,10.42,2.08,80,0,0,9.96,1.82,90.04,18.23,79.72
"BothNeg",1,50,0.1,88.66,17.7,11.51,2.3,80.04,1.66,0.36,13.38,2.58,84.97,17.22,79.88
"BothNeg",1,50,0.2,89.63,17.98,11.02,2.21,79.94,4.91,1.03,12.84,2.63,82.25,16.52,79.82
"BothNeg",1,50,0.3,90.05,17.98,9.99,2,80.03,7.98,1.61,9.37,1.9,82.65,16.43,79.81
"BothNeg",1.5,10,0,96.23,19.2,3.82,0.76,80.05,0,0,8.86,1.81,91.14,18.22,79.61
"BothNeg",1.5,10,0.1,95.97,19.04,4.32,0.86,80.16,0.87,0.15,7.8,1.58,91.33,17.82,79.98
"BothNeg",1.5,10,0.2,93.22,18.88,7.05,1.43,79.75,5,1.13,10.28,2.16,84.72,17.05,79.96
"BothNeg",1.5,10,0.3,95.72,18.76,4.31,0.85,80.4,9.21,1.93,4.59,0.94,86.2,17.22,80.15
"BothNeg",1.5,20,0,86.31,17.19,14.26,2.84,80.09,0,0,13.55,2.77,86.45,17.39,80.32
"BothNeg",1.5,20,0.1,89.85,17.78,9.61,1.9,80.21,1.44,0.3,10.66,2.16,87.9,17.33,80.05
"BothNeg",1.5,20,0.2,89.13,17.63,11.56,2.29,80.22,4.47,0.95,10.05,2.08,85.47,16.91,79.93
"BothNeg",1.5,20,0.3,88.56,17.48,11.71,2.31,80.26,11.78,2.4,12.41,2.58,75.81,14.75,80.06
"BothNeg",1.5,30,0,86.61,17.27,12.74,2.54,80.06,0,0,15.84,3.07,84.16,17.02,80.11
"BothNeg",1.5,30,0.1,79.83,16.12,20.95,4.23,79.81,2.03,0.4,14.88,2.75,83.09,16.56,80.32
"BothNeg",1.5,30,0.2,86.67,16.98,13.48,2.64,80.4,5.31,1.07,12.88,2.45,81.81,16.01,80.07
"BothNeg",1.5,30,0.3,84.55,16.93,15.69,3.14,79.98,12.79,2.49,21.52,4.22,65.69,13.33,79.8
"BothNeg",1.5,40,0,80.25,16.21,18.49,3.74,79.8,0,0,23.86,4.58,76.14,15.08,79.88
"BothNeg",1.5,40,0.1,75.54,14.96,24.48,4.85,80.19,1.98,0.41,16.64,3.23,81.38,16.08,79.68
"BothNeg",1.5,40,0.2,79.1,15.87,20.37,4.09,79.94,4.93,1,16.38,3.14,78.69,15.54,80.27
"BothNeg",1.5,40,0.3,78.2,15.52,21.1,4.19,80.15,11.03,2.24,16.86,3.59,72.11,14.49,80.03
"BothNeg",1.5,50,0,82.54,16.66,17.17,3.47,79.81,0,0,27.3,5.64,72.7,14.39,79.82
"BothNeg",1.5,50,0.1,78.04,15.56,21.19,4.22,80.06,1.68,0.28,16.58,3.41,81.74,16.15,79.87
"BothNeg",1.5,50,0.2,73.1,15,25.93,5.32,79.48,6.25,1.27,24.97,5.02,68.78,13.83,79.93
"BothNeg",1.5,50,0.3,80.43,15.99,19.1,3.8,80.12,9.23,1.84,20.73,4.11,70.04,14.14,80.15
"BothNeg",2,10,0,92.24,18.32,7.83,1.55,80.14,0,0,12.92,2.73,87.08,17.3,79.84
"BothNeg",2,10,0.1,94.97,19.25,5.04,1.02,79.74,1.2,0.21,7.81,1.59,90.99,17.99,79.93
"BothNeg",2,10,0.2,94.28,19.22,5.31,1.08,79.62,3.75,0.7,15.68,3.13,80.57,16.62,80.21
"BothNeg",2,10,0.3,91.49,18.41,8.94,1.8,79.87,9.63,2.1,11.1,2.43,79.28,15.9,79.93
"BothNeg",2,20,0,81.34,16.23,20.4,4.07,80.05,0,0,18.26,3.66,81.74,16.37,80.04
"BothNeg",2,20,0.1,86.99,17.23,12.65,2.51,80.19,1.33,0.3,14.81,3.04,83.86,16.92,79.95
"BothNeg",2,20,0.2,75.73,15.08,24.43,4.86,80.09,5.74,1.11,22.72,4.34,71.54,14.44,79.85
"BothNeg",2,20,0.3,79.25,16.15,20.43,4.16,79.62,10.07,1.8,11.1,2.17,78.84,15.75,80.09
"BothNeg",2,30,0,76.14,15.36,23.25,4.69,79.82,0,0,18.96,3.83,81.04,16.23,80.09
"BothNeg",2,30,0.1,79.96,15.79,20.83,4.12,80.25,1.79,0.36,19.47,3.82,78.74,15.78,79.33
"BothNeg",2,30,0.2,76.89,15.32,22.6,4.5,80.07,5.69,1.14,20.03,3.98,74.28,14.92,79.76
"BothNeg",2,30,0.3,76.83,15.25,22.63,4.49,80.15,11.08,2.21,23.52,4.63,65.4,13.38,79.93
"BothNeg",2,40,0,72.79,14.65,26.78,5.39,79.87,0,0,27.47,5.6,72.53,14.58,79.65
"BothNeg",2,40,0.1,66.7,13.42,35.39,7.12,79.88,1.7,0.34,25.57,5.06,72.73,14.41,79.64
"BothNeg",2,40,0.2,68.93,13.71,31.22,6.21,80.1,5.52,1.04,28.63,5.66,65.86,12.79,80.01
"BothNeg",2,40,0.3,73.41,14.77,26.65,5.36,79.88,13.6,2.72,27.39,5.35,59.01,11.85,79.78
"BothNeg",2,50,0,68.9,13.9,30.89,6.23,79.82,0,0,33.46,6.56,66.54,13.35,80.04
"BothNeg",2,50,0.1,63.27,12.6,37.3,7.43,80.08,2.4,0.47,32.39,6.62,65.21,13.29,80.02
"BothNeg",2,50,0.2,66.22,13.26,34.34,6.87,79.98,6.15,1.26,25.34,4.81,68.51,13.86,80.26
"BothNeg",2,50,0.3,69.97,13.98,29.78,5.95,80.02,11.29,2.27,36.43,7.4,52.28,10.52,79.61
"AposBneg",0.5,10,0,99.04,19.58,0.89,0.18,80.23,0,0,1.2,0.27,98.8,19.54,80.09
"AposBneg",0.5,10,0.1,99.47,19.89,0.51,0.1,80,0.65,0.1,0.46,0.11,98.89,19.86,79.88
"AposBneg",0.5,10,0.2,99.66,20.45,0.4,0.08,79.48,4.04,0.79,0.29,0.06,95.67,19.26,79.96
"AposBneg",0.5,10,0.3,99.25,20.21,0.59,0.12,79.63,9.45,1.82,0.42,0.08,90.13,17.87,79.95
"AposBneg",0.5,20,0,97.82,19.4,2.13,0.42,80.16,0,0,1.85,0.31,98.15,19.95,79.75
"AposBneg",0.5,20,0.1,98.56,19.71,1.57,0.31,80.01,0.93,0.2,0.81,0.17,98.25,18.86,80.42
"AposBneg",0.5,20,0.2,98.59,20.02,1.79,0.36,79.69,3.33,0.63,0.94,0.21,95.72,18.83,80.13
"AposBneg",0.5,20,0.3,99.14,19.6,0.84,0.17,80.23,6.96,1.43,0.55,0.12,92.49,18.33,80
"AposBneg",0.5,30,0,97.94,19.45,2.2,0.44,80.14,0,0,1.97,0.42,98.03,19.76,79.97
"AposBneg",0.5,30,0.1,98.24,19.71,2.04,0.41,79.94,1.11,0.2,2.08,0.33,96.81,19.37,80.09
"AposBneg",0.5,30,0.2,98.19,19.84,1.84,0.37,79.8,4.13,0.81,1.43,0.3,94.44,18.82,80.22
"AposBneg",0.5,30,0.3,96.96,19.48,2.59,0.52,79.91,8,1.62,1.4,0.28,90.59,18.26,80.04
"AposBneg",0.5,40,0,97.1,19.33,2.79,0.56,80.09,0,0,1.63,0.33,98.37,19.67,80.01
"AposBneg",0.5,40,0.1,98.04,19.7,2.1,0.42,79.91,0.9,0.18,1.7,0.25,97.4,19.7,79.9
"AposBneg",0.5,40,0.2,98.4,19.48,1.6,0.32,80.21,3.13,0.67,2.11,0.44,94.76,19.14,80.07
"AposBneg",0.5,40,0.3,96.71,19.47,3.54,0.71,79.87,6.43,1.46,2.3,0.48,91.28,18.17,80.08
"AposBneg",0.5,50,0,97.64,19.46,2.56,0.51,80.07,0,0,3.39,0.68,96.61,19.47,80.08
"AposBneg",0.5,50,0.1,96.78,19.27,3.42,0.68,80.09,0.94,0.19,2.68,0.52,96.38,19.37,80.02
"AposBneg",0.5,50,0.2,96.09,19.1,3.77,0.75,80.12,3.41,0.71,2.08,0.4,94.52,19,79.7
"AposBneg",0.5,50,0.3,97.31,19.26,2.86,0.57,80.21,7.57,1.53,2.51,0.47,89.92,18.32,79.92
"AposBneg",1,10,0,99.19,20.12,0.86,0.18,79.72,0,0,2.83,0.55,97.17,19.44,79.61
"AposBneg",1,10,0.1,98.66,19.61,1.24,0.25,80.12,0.69,0.1,1.65,0.35,97.66,19.12,80.09
"AposBneg",1,10,0.2,96.69,19.11,3.26,0.64,80.23,3.85,0.77,1.55,0.32,94.6,18.98,79.84
"AposBneg",1,10,0.3,97.22,19.24,2.44,0.48,80.21,8.41,1.68,2.49,0.57,89.09,17.79,79.89
"AposBneg",1,20,0,96.68,19.26,3.75,0.75,80.08,0,0,4.12,0.75,95.88,19.06,79.83
"AposBneg",1,20,0.1,95.71,19.17,4.59,0.92,79.97,0.66,0.15,3.67,0.74,95.67,19.66,79.67
"AposBneg",1,20,0.2,93.82,19.04,5.81,1.18,79.7,3.03,0.67,5.57,1.17,91.4,18.11,80.03
"AposBneg",1,20,0.3,95.9,19.04,4.24,0.84,80.14,8,1.69,3.57,0.77,88.43,17.91,80.1
"AposBneg",1,30,0,93.15,18.77,6.53,1.32,79.85,0,0,6.44,1.31,93.56,18.79,80.15
"AposBneg",1,30,0.1,92.9,18.66,6.89,1.38,79.91,0.35,0.16,12.09,2.38,87.57,17.76,79.9
"AposBneg",1,30,0.2,92.32,18.22,7.76,1.53,80.27,2.47,0.51,3.97,0.79,93.55,18.7,79.97
"AposBneg",1,30,0.3,92.69,18.53,7.79,1.56,80.01,6.35,1.25,3.81,0.82,89.83,17.99,80.01
"AposBneg",1,40,0,91.61,18.51,8.48,1.71,79.8,0,0,8.55,1.71,91.45,18.36,79.91
"AposBneg",1,40,0.1,91.42,18.56,8.88,1.8,79.69,0.39,0.05,9.67,1.98,89.94,17.97,79.79
"AposBneg",1,40,0.2,92.27,18.68,7.84,1.59,79.75,4.81,0.87,8.96,1.96,86.23,17.26,79.9
"AposBneg",1,40,0.3,87.68,17.16,12.97,2.54,80.43,7.44,1.54,5.67,1.11,86.89,17.04,80.19
"AposBneg",1,50,0,91,18.05,9.36,1.86,80.17,0,0,10.39,1.99,89.61,17.79,80.25
"AposBneg",1,50,0.1,90.66,17.75,8.26,1.62,80.42,0.78,0.18,10.36,2.08,88.86,17.55,79.91
"AposBneg",1,50,0.2,91.29,18.4,8.15,1.64,79.84,3.61,0.74,8.02,1.47,88.37,17.7,80.37
"AposBneg",1,50,0.3,92.32,18.62,7.72,1.56,79.83,8.56,1.59,10.24,2.07,81.19,16.15,79.9
"AposBneg",1.5,10,0,96.39,19.11,4.2,0.83,80.17,0,0,5.44,1.08,94.56,19.1,79.72
"AposBneg",1.5,10,0.1,92.99,18.24,7.75,1.52,80.39,0.59,0.1,5.12,1.06,94.29,18.94,79.93
"AposBneg",1.5,10,0.2,95.63,18.99,4.36,0.87,80.14,3.84,0.85,2.71,0.54,93.45,18.91,79.66
"AposBneg",1.5,10,0.3,94.13,18.98,5.69,1.15,79.83,7.09,1.32,2.38,0.51,90.53,18.26,79.92
"AposBneg",1.5,20,0,87.23,17.5,12.44,2.5,79.94,0,0,9.62,1.88,90.38,17.95,80.25
"AposBneg",1.5,20,0.1,87.9,17.39,13.1,2.59,80.21,0.4,0.09,9.73,1.88,89.87,17.96,79.92
